number,alpha,common,band_size,scientific,T & E*,Comments,taxonomic_order
1030,LTSP,Least Storm-Petrel,1B,Hydrobates microsoma,,,187
740,LETE,Least Tern,"1A, 1B",Sternula antillarum,,,442
5480,LCSP,LeConte's Sparrow,"1, 1C, 0",Ammospiza leconteii,,,1057
7110,LCTH,LeConte's Thrasher,2,Toxostoma lecontei,,,885
6022,LESB,Lesser Antillean Bullfinch,"1, 1B",Loxigilla noctis,,,1015
4554,LESF,Lesser Antillean Flycatcher,1B,Myiarchus oberi,,,690
4622,LAPE,Lesser Antillean Pewee,"0, 0A, 1C",Contopus latirostris,,,661
500,LBBG,Lesser Black-backed Gull,6,Larus fuscus,,,425
1282,LEFR,Lesser Frigatebird,"7A, 7",Fregata ariel,,Require 7A short.,194
2729,LEGP,Lesser Golden-Plover,"3, 2A, 2",,,"Includes Pluvialis dominica and P. fulva, prior to split in 1993.",303
5300,LEGO,Lesser Goldfinch,"0A, 0",Spinus psaltria,,,1189
4210,LENI,Lesser Nighthawk,"1D, 1A, 2",Chordeiles acutipennis,,,528
2790,LRSP,Lesser Sand-Plover,3,Charadrius mongolus,,,304
1490,LESC,Lesser Scaup,"6, 5A, 5",Aythya affinis,,,70
8544,LESH,Lesser Sheathbill,7A,Chionis minor,,,315
1690,LSGO,Lesser Snow Goose,7B,Anser caerulescens caerulescens,,,10
1713,LWFG,Lesser White-fronted Goose,7A,Anser erythropus,,,7
2550,LEYE,Lesser Yellowlegs,"2, 2A",Tringa flavipes,,,325
4080,LEWO,Lewis's Woodpecker,"3, 2",Melanerpes lewis,British Columbia,,588
2112,LFRR,Light-footed Ridgway's Rail,5,Rallus obsoletus levipes,Y,,273
8524,LMSA,Light-mantled Albatross,8,Phoebetria palpebrata,,,121
2070,LIMP,Limpkin,"7A, 6",Aramus guarauna,,,288
5830,LISP,Lincoln's Sparrow,"1, 0, 1C",Melospiza lincolnii,,,1066
2000,LBHE,Little Blue Heron,6,Egretta caerulea,,,220
5352,LIBU,Little Bunting,"1C, 1",Emberiza pusilla,,,1085
601,LIGU,Little Gull,3,Hydrocoloeus minutus,,,408
921,LISH,Little Shearwater,4,Puffinus assimilis,,,175
2411,LIST,Little Stint,"1, 1B, 1C",Calidris minuta,,,353
741,LITE,Little Tern,1A,Sternula albifrons,,,441
4452,LOKI,Loggerhead Kingbird,"1A, 1B",Tyrannus caudifasciatus,,,700
6220,LOSH,Loggerhead Shrike,"1D, 1A, 2",Lanius ludovicianus,"Alberta
Manitoba
Ontario
Québec
Saskatchewan",,708
2640,LBCU,Long-billed Curlew,"5, 4A, 5A",Numenius americanus,,Use size 6 if banding on tibiotarsus,331
2320,LBDO,Long-billed Dowitcher,"2, 2A",Limnodromus scolopaceus,,,361
231,LBMU,Long-billed Murrelet,"3B, 3",Brachyramphus perdix,,,384
7060,LBTH,Long-billed Thrasher,"2, 3",Toxostoma longirostre,,,882
3660,LEOW,Long-eared Owl,"6, 5",Asio otus,,Lock-on bands recommended.,524
8750,LTCU,Long-tailed Cuckoo,"3, 3B, 3A",Eudynamys taitensis,,,499
1540,LTDU,Long-tailed Duck,"6, 5A, 5",Clangula hyemalis,,,79
380,LTJA,Long-tailed Jaeger,"4, 4A",Stercorarius longicaudus,,,377
2423,LTST,Long-toed Stint,"1, 1B",Calidris subminuta,,,345
6760,LOWA,Louisiana Waterthrush,"1C, 1",Parkesia motacilla,"Ontario
Québec",,925
4370,LUHU,Lucifer Hummingbird,X,Calothorax lucifer,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",556
6430,LUWA,Lucy's Warbler,"0A, 0",Leiothlypis luciae,,,939
8510,MACP,Macaroni Penguin,9,Eudyptes chrysolophus,,,112
6800,MGWA,MacGillivray's Warbler,"1C, 1, 0, 0A",Geothlypis tolmiei,,,944
391,MAGU,Magellan Gull,5,Leucophaeus scoresbii,,,410
8516,MAGP,Magellanic Penguin,9,Spheniscus magellanicus,,,115
1280,MAFR,Magnificent Frigatebird,"7B, 7, 7A",Fregata magnificens,,Require 7B or 7A short.,192
6570,MAWA,Magnolia Warbler,"0A, 0",Setophaga magnolia,,,958
1320,MALL,Mallard,"7A, 7",Anas platyrhynchos,,,48
1327,MALX,Mallard Dominant X American Black Duck Hybrid,7A,,,Anas platyrhynchos X A. rubripes,47
1326,MBDH,Mallard X American Black Duck Hybrid,7A,,,Anas platyrhynchos X A. rubripes,46
1325,MBDX,Mallard X American Black Duck Intermediate,7A,,,Anas platyrhynchos X A. rubripes,45
1323,MHDH,Mallard X Hawaiian Duck Hybrid,"7A, 6",,,Anas platyrhynchos X A. wyvilliana,53
3860,MACU,Mangrove Cuckoo,"2, 3, 3B",Coccyzus minor,,,496
900,MASH,Manx Shearwater,"4A, 4",Puffinus puffinus,,,169
8760,MCFD,Many-colored Fruit Dove,"3A, 3B",Ptilinopus perousii,,,482
2490,MAGO,Marbled Godwit,4,Limosa fedoa,,,335
230,MAMU,Marbled Murrelet,"3, 3B",Brachyramphus marmoratus,Y,,386
2192,MCMO,Mariana Common Moorhen,"5, 6",Gallinula chloropus guami,Y,,284
8570,MARC,Mariana Crow,"4, 4A",Corvus kubaryi,Y,,749
3155,MAFD,Mariana Fruit Dove,"3A, 3B",Ptilinopus roseicapilla,,,484
8800,MGSW,Mariana Gray Swiftlet,0,Aerodramus vanikorensis bartschi,Y,,544
2562,MASA,Marsh Sandpiper,"3, 2, 1D",Tringa stagnatilis,,,326
7250,MAWR,Marsh Wren,"1C, 1, 0",Cistothorus palustris,,,807
1140,MABO,Masked Booby,"7B, 8",Sula dactylatra,,,195
1680,MADU,Masked Duck,5,Nomonyx dominicus,,,86
7920,MAAL,Maui Alauahio,"1C, 1",Paroreomyza montana,,,1169
7810,MAPA,Maui Parrotbill,"1B, 1A",Pseudonestor xanthophrys,Y,,1158
5350,MKBU,McKay's Bunting,"1B, 1A",Plectrophenax hyperboreus,,,922
3570,MERL,Merlin,"M: 3, 3B, 3A
F: 4, 3A, 3B",Falco columbarius,,Lock-on bands recommended.,624
7370,MECH,Mexican Chickadee,"0, 0A",Poecile sclateri,,,779
1331,MEDU,Mexican Duck,7A,Anas diazi,,,50
4820,MEJA,Mexican Jay,"3A, 3B",Aphelocoma wollweberi,,,745
3693,MSOW,Mexican Spotted Owl,"7B, 7A",Strix occidentalis lucida,Y,Lock-on bands recommended.,521
4271,MEVI,Mexican Violetear,X,Colibri thalassinus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",546
4172,MWPW,Mexican Whip-poor-will,"1D, 1A, 2",Antrostomus arizonae,,,536
8790,MICK,Micronesian Kingfisher,3,Todiramphus cinnamominus,Y,Includes subspecies not T. c. cinnamominus.,583
8600,MIME,Micronesian Megapode,6,Megapodius laperouse,Y,,89
8680,MIMY,Micronesian Myzomela,"1, 1B",Myzomela rubratra,,,706
8720,MIST,Micronesian Starling,"3, 2",Aplonis opaca,,,892
7471,MIGW,Middendorff's Grasshopper-Warbler,0A,Locustella ochotensis,,,834
7462,MILL,Millerbird,0A,Acrocephalus familiaris,Y,,832
1722,MCGO,Minima Cackling Goose,"7A, 7, 7B",Branta hutchinsii minima,,,22
3290,MIKI,Mississippi Kite,5,Ictinia mississippiensis,,Lock-on bands recommended.,241
2061,MSCR,Mississippi Sandhill Crane,"8, 8A",Antigone canadensis pulla,Y,,290
3817,MIPA,Mitred Parakeet,"3A, 3B",Psittacara mitratus,,"No butt-end bands, special parrot bands only.",636
3824,MOPA,Monk Parakeet,4,Myiopsitta monachus,,"No butt-end bands, special parrot bands only.",630
6023,MOSE,Morelet's Seedeater,"0, 0A",Sporophila morelleti,,"From split of White-collared Seedeater, AOS 59th Supplement (2019)",1006
1340,MODU,Mottled Duck,7A,Anas fulvigula,,,49
990,MOPE,Mottled Petrel,3,Pterodroma inexpectata,,,146
7680,MOBL,Mountain Bluebird,"1B, 1A",Sialia currucoides,,,849
7380,MOCH,Mountain Chickadee,"0, 0A",Poecile gambeli,,,778
2810,MOPL,Mountain Plover,"2, 3",Charadrius montanus,"Alberta
Saskatchewan",,312
5546,MWCS,Mountain White-crowned Sparrow,1B,Zonotrichia leucophrys oriantha,,,1073
3160,MODO,Mourning Dove,"3A, 3B",Zenaida macroura,,,493
6790,MOWA,Mourning Warbler,"0, 0A, 1, 1C",Geothlypis philadelphia,,,945
1001,MUPE,Murphy's Petrel,"3, 3B, 3A",Pterodroma ultima,,,145
1441,MUDU,Muscovy Duck,"7B, 7A",Cairina moschata,,,36
1782,MUSW,Mute Swan,9C,Cygnus olor,,,31
6550,MYWA,Myrtle Warbler,"0, 1C, 0A, 1",Setophaga coronata coronata,,,970
3811,NAPA,Nanday Parakeet,"4, 3A",Aratinga nenday,,"No butt-end bands, special parrot bands only.",631
6450,NAWA,Nashville Warbler,"0A, 0",Leiothlypis ruficapilla,,,940
1142,NABO,Nazca Booby,"7B, 8",Sula granti,,Band size unknown; may be same as Masked Booby.,196
5491,NESP,Nelson's Sparrow,"1, 1B, 1C",Ammospiza nelsoni,,,1058
1210,NECO,Neotropic Cormorant,"7B, 7, 7A",Nannopterum brasilianum,,,202
932,NESH,Newell's Shearwater,"4, 4A",Puffinus newelli,Y,,170
8590,NIRW,Nightingale Reed Warbler,"1A, 1D",Acrocephalus luscinius,Y,,833
7750,NIFI,Nihoa Finch,"1B, 1",Telespiza ultima,Y,,1155
4720,NBTY,Northern Beardless-Tyrannulet,"0A, 0",Camptostoma imberbe,,,647
5930,NOCA,Northern Cardinal,"1A, 2, 1D",Cardinalis cardinalis,,,1095
860,NOFU,Northern Fulmar,"6, 5A",Fulmarus glacialis,,,134
1170,NOGA,Northern Gannet,8,Morus bassanus,,,200
8553,NGPE,Northern Giant-Petrel,8,Macronectes halli,,,126
3310,NOHA,Northern Harrier,"M: 4, 4A
F: 5, 5A, 6",Circus hudsonius,,Lock-on bands recommended.,243
3770,NHOW,Northern Hawk Owl,"7A, 7B",Surnia ulula,,Require 7A or 7B short.,512
2880,NOJA,Northern Jacana,3A,Jacana spinosa,,,316
2690,NOLA,Northern Lapwing,5,Vanellus vanellus,,,298
7030,NOMO,Northern Mockingbird,"2, 1D, 1A",Mimus polyglottos,,,890
6480,NOPA,Northern Parula,"0A, 0",Setophaga americana,,,956
1430,NOPI,Northern Pintail,6,Anas acuta,,,58
3790,NOPO,Northern Pygmy-Owl,"3, 3B, 3A, 4",Glaucidium gnoma,,,513
8041,NRBI,Northern Red Bishop,0A,Euplectes franciscanus,,,1201
6170,NRWS,Northern Rough-winged Swallow,"0, 1C, 1, 0A",Stelgidopteryx serripennis,,,771
3720,NSWO,Northern Saw-whet Owl,"4, 3A, 4A",Aegolius acadicus,British Columbia,Use 4 (or 4A if needed) short.,527
1420,NSHO,Northern Shoveler,"5, 6, 5A",Spatula clypeata,,,56
6210,NSHR,Northern Shrike,"2, 1D",Lanius borealis,,,710
3692,NSOW,Northern Spotted Owl,"7B, 7A",Strix occidentalis caurina,Y,Lock-on bands recommended.,520
6750,NOWA,Northern Waterthrush,"1, 0, 1C",Parkesia noveboracensis,,,926
7650,NOWH,Northern Wheatear,1B,Oenanthe oenanthe,,,846
4890,NOCR,Northwestern Crow,"4A, 4",Corvus brachyrhynchos caurinus,,,751
7880,NUKU,Nukupuu,"1C, 1",Hemignathus lucidus,Y,,1163
5560,NWCS,Nuttall's White-crowned Sparrow,1B,Zonotrichia leucophrys nuttalli,,,1076
3970,NUWO,Nuttall's Woodpecker,"1A, 1B",Dryobates nuttallii,,,603
4531,NUFL,Nutting's Flycatcher,1B,Myiarchus nuttingi,,,684
7870,OAAK,Oahu Akialoa,"1, 0",Akialoa ellisiana,Y,,1162
7940,OAAL,Oahu Alauahio,"1, 1C",Paroreomyza maculata,Y,,1167
7821,OAAM,Oahu Amakihi,"1, 1C, 1B",Chlorodrepanis flava,,,1160
7701,OAEL,Oahu Elepaio,1,Chasiempis ibidis,Y,,760
7330,OATI,Oak Titmouse,"1, 1C",Baeolophus inornatus,,AOU split from 7339-PLTI in 1998.,787
5860,OLSP,Olive Sparrow,"1B, 1, 1C",Arremonops rufivirgatus,,,1018
6510,OLWA,Olive Warbler,"0, 0A",Peucedramus taeniatus,,,916
6983,OBPI,Olive-backed Pipit,"1, 1C",Anthus hodgsoni,,,906
9138,OLIW,Olive-capped Warbler,0A,Setophaga pityophila,,,968
4590,OSFL,Olive-sided Flycatcher,"1B, 1, 1C",Contopus cooperi,"Alberta
British Columbia
Manitoba
New Brunswick
Newfoundland and Labrador
Nova Scotia
Ontario
Prince Edward Island
Québec
Saskatchewan
Yukon Territory
Northwest Territories",,654
7545,OLOM,Olomao,1A,Myadestes lanaiensis,Y,,854
7541,OMAO,Omao,"1A, 1D",Myadestes obscurus,,,855
7424,OBNT,Orange-billed Nightingale-Thrush,1B,Catharus aurantiirostris,,,857
8070,ORAW,Orange-cheeked Waxbill,"0A, 0",Estrilda melpoda,,,1204
6460,OCWA,Orange-crowned Warbler,"0, 0A",Leiothlypis celata,,,937
3813,OFPA,Orange-fronted Parakeet,"3A, 3B",Eupsittula canicularis,,"No butt-end bands, special parrot bands only.",633
3829,OWAM,Orange-winged Amazon,"4A, 4",Amazona amazonica,,"No butt-end bands, special parrot bands only.",644
9151,ORAN,Orangequit,"1C, 1",Euneornis campestris,,,1016
5060,OROR,Orchard Oriole,1B,Icterus spurius,,,1133
5671,ORJU,Oregon Junco,"0, 1C, 1",Junco hyemalis oreganus,,,1081
5262,ORGR,Oriental Greenfinch,"0, 1C, 1",Chloris sinica,,,1193
3640,OSPR,Osprey,"8, 7D",Pandion haliaetus,,Lock-on bands recommended.,236
1436,OHDU,Other Hybrid Duck,"7A, 6, 5A, 5",,,Bander must determine appropriate size for each bird. Report suspected parentage as a remark (e.g. Species1 x Species2).,88
1716,OHGO,Other Hybrid Goose,"8, 7B",,,Report suspected parentage as a remark (e.g. Species1 x Species2).,30
7760,OU,Ou,2,Psittirostra psittacea,Y,,1156
6740,OVEN,Ovenbird,"1, 1C, 0",Seiurus aurocapilla,,,923
1332,PBDU,Pacific Black Duck,"7A, 7, 6",Anas superciliosa,,,42
2721,PAGP,Pacific Golden-Plover,"3, 2A, 2",Pluvialis fulva,,AOU split from 2729-LEGP in 1993.,302
100,PALO,Pacific Loon,7B,Gavia pacifica,,,92
8770,PAPI,Pacific Pigeon,6,Ducula pacifica,,,485
1969,PRHE,Pacific Reef Heron,7A,Egretta sacra,,,218
7221,PAWR,Pacific Wren,"0A, 0",Troglodytes pacificus,,,803
4641,PSFL,Pacific-slope Flycatcher,"0A, 0",,,AOU split from 4649-WEFL in 1989.,672
7222,PWWR,Pacific/Winter Wren,"0A, 0",,,Troglodytes pacificus and T. hiemalis prior to split in 2010,805
6010,PABU,Painted Bunting,"1, 1C",Passerina ciris,,,1106
6880,PARE,Painted Redstart,"0A, 0",Myioborus pictus,,,992
7770,PALI,Palila,"1A, 1B",Loxioides bailleui,Y,,1157
5354,PALB,Pallas's Bunting,"1, 1C",Emberiza pallasi,,,1088
170,PAAU,Parakeet Auklet,4,Aethia psittacula,,,394
370,PAJA,Parasitic Jaeger,"3A, 4, 4A",Stercorarius parasiticus,,,376
7111,PETH,Pearly-eyed Thrasher,"3, 3B, 2",Margarops fuscatus,,,878
6981,PEPI,Pechora Pipit,"1, 1C",Anthus gustavi,,,907
2390,PESA,Pectoral Sandpiper,"1A, 1D, 2",Calidris melanotos,,,357
1230,PECO,Pelagic Cormorant,"7B, 7, 7D",Urile pelagicus,,,206
3560,PEFA,Peregrine Falcon,"M: 6, 7A
F: 7A, 7B",Falco peregrinus,,Lock-on bands recommended.,627
6200,PHAI,Phainopepla,1B,Phainopepla nitens,,,915
6260,PHVI,Philadelphia Vireo,"0, 0A",Vireo philadelphicus,,,726
3158,PHTD,Philippine Turtle-Dove,"4, 3A",Streptopelia bitorquata,,,471
988,PHPE,Phoenix Petrel,"4, 3A, 3B",Pterodroma alba,,,150
60,PBGR,Pied-billed Grebe,"5, 6, 5A",Podilymbus podiceps,,,96
290,PIGU,Pigeon Guillemot,"4, 4A",Cepphus columba,,,383
4050,PIWO,Pileated Woodpecker,"4, 3A",Dryocopus pileatus,,,616
2301,PTSN,Pin-tailed Snipe,3,Gallinago stenura,,,364
8131,PTWH,Pin-tailed Whydah,"1, 0, 1B",Vidua macroura,,,1213
5150,PIGR,Pine Grosbeak,"1A, 1D",Pinicola enucleator,,,1152
5330,PISI,Pine Siskin,"0, 0A",Spinus pinus,,,1187
6710,PIWA,Pine Warbler,"0, 0A",Setophaga pinus,,,969
1712,PFGO,Pink-footed Goose,7B,Anser brachyrhynchus,,,5
910,PFSH,Pink-footed Shearwater,"5, 4A",Ardenna creatopus,British Columbia,,161
4920,PIJA,Pinyon Jay,"3, 2, 2A",Gymnorhinus cyanocephalus,,,737
2770,PIPL,Piping Plover,"1A, 1B",Charadrius melodus,Y,,310
3121,PLPI,Plain Pigeon,5,Patagioenas inornata,Y,,468
7339,PLTI,Plain Titmouse,1,,,Unspecified Baeolophus inornatus or B. ridgwayi. Explain in Remarks why the unspecified code was chosen.,790
4261,PCST,Plain-capped Starthroat,X,Heliomaster constantii,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",553
6291,PLVI,Plumbeous Vireo,"1C, 1, 0",Vireo plumbeus,,AOU split from 6299-SOVI in 1998.,720
8650,POST,Polynesian Starling,"M: 2, 3
F: 1A, 1D, 2",Aplonis tabuensis,,,893
360,POJA,Pomarine Jaeger,5,Stercorarius pomarinus,,,375
8040,POUL,Poo-uli,1B,Melamprosops phaeosoma,Y,,1176
3550,PRFA,Prairie Falcon,"M: 6, 7A, 5
F: 7A, 7B, 6",Falco mexicanus,,Lock-on bands recommended.,628
6730,PRAW,Prairie Warbler,"0A, 0",Setophaga discolor,,,975
6370,PROW,Prothonotary Warbler,0,Protonotaria citrea,Ontario,,933
7542,PUAI,Puaiohi,1A,Myadestes palmeri,Y,,856
3432,PBWH,Puerto Rican Broad-winged Hawk,6,Buteo platypterus brunnescens,Y,Lock-on bands recommended.,254
6021,PUEB,Puerto Rican Bullfinch,"1A, 1B",Melopyrrha portoricensis,,,1013
4402,PREM,Puerto Rican Emerald,X,Chlorostilbon maugaeus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",569
4552,PRFL,Puerto Rican Flycatcher,"1B, 1A, 1",Myiarchus antillarum,,,689
3851,PRLC,Puerto Rican Lizard-Cuckoo,"3B, 3, 3A",Coccyzus vieilloti,,,498
9067,PRMA,Puerto Rican Mango,X,Anthracothorax aurulentus,,,548
4171,PRNI,Puerto Rican Nightjar,"1D, 1A, 2",Antrostomus noctitherus,Y,,537
5045,PROR,Puerto Rican Oriole,"1A, 1D, 2",Icterus portoricensis,,,1130
3734,PURO,Puerto Rican Owl,"4, 4A",Gymnasio nudipes,,Lock-on bands recommended.,509
3828,PRPA,Puerto Rican Parrot,"4A, 4",Amazona vittata,Y,"No butt-end bands, special parrot bands only.",642
3122,PRPP,Puerto Rican Plain Pigeon,5,Patagioenas inornata wetmorei,Y,Endangered subspecies in Puerto Rico.,469
3321,PSSH,Puerto Rican Sharp-shinned Hawk,"M: 2, 3
F: 3, 3B",Accipiter striatus venator,Y,,245
6104,PRSP,Puerto Rican Spindalis,"1B, 1A",Spindalis portoricensis,,,1002
6102,PRTA,Puerto Rican Tanager,"1A, 1B",Nesospingus speculiferus,,,999
3912,PRTO,Puerto Rican Tody,"X, 0A, 0",Todus mexicanus,,,581
6331,PRVI,Puerto Rican Vireo,"0, 1, 1C",Vireo latimeri,,,714
4071,PRWO,Puerto Rican Woodpecker,"2, 1D, 2A",Melanerpes portoricensis,,,589
5547,PSWS,Puget Sound White-crowned Sparrow,1B,Zonotrichia leucophrys pugetensis,,,1074
5170,PUFI,Purple Finch,"1, 1C, 1B",Haemorhous purpureus,,,1179
2180,PUGA,Purple Gallinule,"4, 4A, 5",Porphyrio martinicus,,,281
6110,PUMA,Purple Martin,"1D, 1A, 2",Progne subis,,,765
2350,PUSA,Purple Sandpiper,"1A, 1D, 2",Calidris maritima,,,351
2181,PUSW,Purple Swamphen,6,Porphyrio porphyrio,,,280
8620,PCFD,Purple-capped Fruit Dove,"3A, 4",Ptilinopus porphyraceus,,,483
7300,PYNU,Pygmy Nuthatch,"0, 1C",Sitta pygmaea,,,796
5940,PYRR,Pyrrhuloxia,"1A, 1D",Cardinalis sinuatus,,,1096
320,RAZO,Razorbill,"5R, 6M",Alca torda,,,381
8090,REAV,Red Avadavat,"0A, 0",Amandava amandava,,,1207
5210,RECR,Red Crossbill,"1B, 1A",Loxia curvirostra,"Newfoundland and Labrador
Québec",,1181
2340,REKN,Red Knot,"2, 2A",Calidris canutus,"British Columbia
Yukon Territory
Northwest Territories",,338
2220,REPH,Red Phalarope,1A,Phalaropus fulicarius,,,370
5321,RESI,Red Siskin,0,Spinus cucullatus,,,1188
4090,RBWO,Red-bellied Woodpecker,2,Melanerpes carolinus,,,594
7421,RBLE,Red-billed Leiothrix,1B,Leiothrix lutea,,,831
3130,RBPI,Red-billed Pigeon,5,Patagioenas flavirostris,,,467
1130,RBTR,Red-billed Tropicbird,4A,Phaethon aethereus,,,189
1300,RBME,Red-breasted Merganser,"6, 7A",Mergus serrator,,,85
7280,RBNU,Red-breasted Nuthatch,"0, 1C, 1",Sitta canadensis,,,794
4030,RBSA,Red-breasted Sapsucker,"1A, 1B, 1D",Sphyrapicus ruber,,,599
8050,RCCO,Red-cheeked Cordonbleu,"1C, 1",Uraeginthus bengalus,,,1202
3950,RCWO,Red-cockaded Woodpecker,1A,Dryobates borealis,Y,,607
5922,RCCA,Red-crested Cardinal,"1A, 1D, 2",Paroaria coronata,,,997
3826,RCPA,Red-crowned Parrot,"4A, 4",Amazona viridigenalis,,"No butt-end bands, special parrot bands only.",643
6240,REVI,Red-eyed Vireo,"1C, 1, 0",Vireo olivaceus,,,727
1240,RFCO,Red-faced Cormorant,"8, 7B, 7D",Urile urile,,,205
6900,RFWA,Red-faced Warbler,"0A, 0",Cardellina rubrifrons,,,991
7642,RFBL,Red-flanked Bluetail,0,Tarsiger cyanurus,,,844
1160,RFBO,Red-footed Booby,"7A, 7, 7B",Sula sula,,,199
4060,RHWO,Red-headed Woodpecker,"2, 1D, 2A",Melanerpes erythrocephalus,"Manitoba
Ontario
Québec
Saskatchewan",,590
410,RLKI,Red-legged Kittiwake,"4A, 4, 3A",Rissa brevirostris,,,403
7623,RLTH,Red-legged Thrush,2,Turdus plumbeus,,,874
3825,RMPA,Red-masked Parakeet,4A,Psittacara erythrogenys,,"No butt-end bands, special parrot bands only.",638
4021,RNSA,Red-naped Sapsucker,"1A, 1B",Sphyrapicus nuchalis,,,598
20,RNGR,Red-necked Grebe,"7A, 7, 7B",Podiceps grisegena,,,98
2230,RNPH,Red-necked Phalarope,1B,Phalaropus lobatus,,,369
2422,RNST,Red-necked Stint,"1, 1B, 1C",Calidris ruficollis,,,347
4130,RSFL,Red-shafted Flicker,"3, 3B",Colaptes auratus cafer,,,613
3390,RSHA,Red-shouldered Hawk,"6, 5, 7A",Buteo lineatus,,Lock-on bands recommended.,252
3370,RTHA,Red-tailed Hawk,"7B, 7D, 7A",Buteo jamaicensis,,Lock-on bands recommended.,261
1131,RTTR,Red-tailed Tropicbird,"5, 4A, 5A",Phaethon rubricauda,,,190
110,RTLO,Red-throated Loon,7B,Gavia stellata,,,90
6990,RTPI,Red-throated Pipit,"1, 1C",Anthus cervinus,,,908
7262,RVBU,Red-vented Bulbul,"1A, 1D, 2",Pycnonotus cafer,,,818
7261,RWBU,Red-whiskered Bulbul,"1B, 1A",Pycnonotus jocosus,,,819
4980,RWBL,Red-winged Blackbird,"M: 2, 1D
F: 1A, 1D",Agelaius phoeniceus,,,1109
1980,REEG,Reddish Egret,7A,Egretta rufescens,,,222
1460,REDH,Redhead,"6, 7A",Aythya americana,,,65
7600,REDW,Redwing,"2, 1A, 1D",Turdus iliacus,,,868
5355,REBU,Reed Bunting,"1, 1C",Emberiza schoeniclus,,,1089
150,RHAU,Rhinoceros Auklet,"5, 6, 5A",Cerorhinca monocerata,,,398
1725,RCGO,Richardson's Cackling Goose,"7A, 7, 7B",Branta hutchinsii hutchinsii,,,25
540,RBGU,Ring-billed Gull,"5, 4A, 5A",Larus delawarensis,,,418
1500,RNDU,Ring-necked Duck,"6, 5A",Aythya collaris,,,67
3901,RIKI,Ringed Kingfisher,4,Megaceryle torquata,,,585
4260,RIHU,Rivoli's Hummingbird,X,Eugenes fulgens,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",552
3431,ROHA,Roadside Hawk,5,Rupornis magnirostris,,Lock-on bands recommended.,251
2360,ROSA,Rock Sandpiper,"2, 1D",Calidris ptilocnemis,,,350
7150,ROWR,Rock Wren,"1, 1C, 0",Salpinctes obsoletus,,,799
8508,ROCP,Rockhopper Penguin,9,Eudyptes chrysocome,,,110
5950,RBGR,Rose-breasted Grosbeak,"1A, 1D, 2",Pheucticus ludovicianus,,,1098
3822,RRPA,Rose-ringed Parakeet,"3, 2, 3A",Psittacula krameri,,"No butt-end bands, special parrot bands only.",645
4411,RTBE,Rose-throated Becard,"1B, 1A, 1",Pachyramphus aglaiae,,,703
1830,ROSP,Roseate Spoonbill,7B,Platalea ajaja,,,232
720,ROST,Roseate Tern,"2, 2A",Sterna dougallii,Y,Hard metal bands recommended.,450
1700,ROGO,Ross's Goose,7B,Anser rossii,,,16
610,ROGU,Ross's Gull,3,Rhodostethia rosea,"Manitoba
Nunavut",,409
3823,RFLO,Rosy-faced Lovebird,"1B, 1A",Agapornis roseicollis,,"No butt-end bands, special parrot bands only.",646
8810,ROWE,Rota White-eye,0,Zosterops rotensis,Y,,836
3470,RLHA,Rough-legged Hawk,"M: 7A, 7B, 6
F: 7B, 7A, 7D",Buteo lagopus,,Lock-on bands recommended.,264
8519,ROAL,Royal Albatross,8,Diomedea epomophora,,,132
8509,ROYP,Royal Penguin,9,Eudyptes schlegeli,,,111
650,ROYT,Royal Tern,"4, 4A",Thalasseus maximus,,,458
7490,RCKI,Ruby-crowned Kinglet,0A,Corthylio calendula,,,821
4280,RTHU,Ruby-throated Hummingbird,X,Archilochus colubris,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",557
1670,RUDU,Ruddy Duck,"M: 7A, 6
F: 6, 7A",Oxyura jamaicensis,,,87
3201,RUGD,Ruddy Ground Dove,2,Columbina talpacoti,,,478
3221,RUQD,Ruddy Quail-Dove,"3A, 4, 3B",Geotrygon montana,,,479
2830,RUTU,Ruddy Turnstone,"2A, 2, 3",Arenaria interpres,,,336
2341,RRKN,Rufa Red Knot,"2, 2A",Calidris canutus rufa,Y,,339
2600,RUFF,Ruff,"3, 2A",Calidris pugnax,,,341
