number,alpha,common,band_size,scientific,T & E*,Comments,taxonomic_order
8690,RUFA,Rufous Fantail,"0A, 0",Rhipidura rufifrons,,,731
4330,RUHU,Rufous Hummingbird,X,Selasphorus rufus,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",563
7622,RBRO,Rufous-backed Robin,2,Turdus rufopalliatus,,,871
6921,RCWA,Rufous-capped Warbler,"1, 0",Basileuterus rufifrons,,,987
5581,RUFS,Rufous-collared Sparrow,"1, 1B",Zonotrichia capensis,,,1068
5800,RCSP,Rufous-crowned Sparrow,"1, 1C, 1B",Aimophila ruficeps,,,1025
4380,RUFH,Rufous-tailed Hummingbird,X,Amazilia tzacatl,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",573
9127,RTSO,Rufous-throated Solitaire,"1, 1B, 1C",Myadestes genibarbis,,,852
5790,RWSP,Rufous-winged Sparrow,"0, 1C, 1",Peucaea carpalis,,,1029
5351,RUBU,Rustic Bunting,"1, 1C",Emberiza rustica,,,1086
5090,RUBL,Rusty Blackbird,"2, 1D",Euphagus carolinus,,,1118
620,SAGU,Sabine's Gull,"3, 3B",Xema sabini,,,405
9094,SAFL,Sad Flycatcher,"1C, 1",Myiarchus barbirostris,,,681
5861,SAFI,Saffron Finch,"1B, 1",Sicalis flaveola,,,1017
7020,SATH,Sage Thrasher,"1B, 1A, 1D",Oreoscoptes montanus,"Alberta
British Columbia
Saskatchewan",,887
5743,SBSP,Sagebrush Sparrow,"1, 1C",Artemisiospiza nevadensis,,AOU split from 5740 Sage Sparrow in 2014.,1044
5490,SALS,Saltmarsh Sparrow,"1, 1B, 1C",Ammospiza caudacuta,,,1059
8640,SAST,Samoan Starling,"M: 3B, 3A, 4
F: 3, 3B, 3A",Aplonis atrifusca,,,894
5741,SCBS,San Clemente Bell's Sparrow,1,Artemisiospiza belli belli,Y,,1046
6227,SLSH,San Clemente Loggerhead Shrike,"1D, 1A, 2",Lanius ludovicianus mearnsi,Y,,709
2480,SAND,Sanderling,"1A, 1D",Calidris alba,,,348
2060,SACR,Sandhill Crane,"8, 8A, 9",Antigone canadensis,,,289
670,SATE,Sandwich Tern,3B,Thalasseus sandvicensis,,,460
5420,SAVS,Savannah Sparrow,"1, 1C, 0",Passerculus sandwichensis,,,1049
4570,SAPH,Say's Phoebe,"1, 1C",Sayornis saya,,,679
8110,SBMU,Scaly-breasted Munia,"0, 0A",Lonchura punctulata,,,1211
3141,SNPI,Scaly-naped Pigeon,5,Patagioenas squamosa,,,465
1850,SCIB,Scarlet Ibis,6,Eudocimus ruber,,,228
6080,SCTA,Scarlet Tanager,1B,Piranga olivacea,,,1092
4430,STFL,Scissor-tailed Flycatcher,1A,Tyrannus forficatus,,,701
5040,SCOR,Scott's Oriole,1A,Icterus parisorum,,,1144
251,SCMU,Scripps's Murrelet,"2, 2A",Synthliboramphus scrippsi,,Split from XAMU (0250) in August 2012.,389
5500,SESP,Seaside Sparrow,1B,Ammospiza maritima,,,1061
7240,SEWR,Sedge Wren,"0A, 0",Cistothorus stellaris,,,806
2740,SEPL,Semipalmated Plover,"1A, 1B, 1D",Charadrius semipalmatus,,,309
2460,SESA,Semipalmated Sandpiper,"1B, 1",Calidris pusilla,,,358
3320,SSHA,Sharp-shinned Hawk,"M: 2, 3
F: 3B, 3A, 3",Accipiter striatus,,,244
2380,SHAS,Sharp-tailed Sandpiper,"1A, 1D",Calidris acuminata,,,342
4961,SHCO,Shiny Cowbird,"2, 1D, 1A",Molothrus bonariensis,,,1124
2310,SBDO,Short-billed Dowitcher,"2, 2A",Limnodromus griseus,,,360
553,SHOG,Short-billed Gull,"4A, 4, 5",Larus brachyrhynchus,,"from Mew Gull Split, AOS 62nd Supplement (2021)",417
3670,SEOW,Short-eared Owl,6,Asio flammeus,,Lock-on bands recommended.,525
820,STAL,Short-tailed Albatross,8,Phoebastria albatrus,Y,,131
3440,STHA,Short-tailed Hawk,6,Buteo brachyurus,,Lock-on bands recommended.,256
960,SHOS,Short-tailed Shearwater,"5, 4A",Ardenna tenuirostris,,,167
4231,STSW,Short-tailed Swift,"1B, 1, 1C",Chaetura brachyura,,,541
8780,SHGD,Shy Ground Dove,"3A, 4",Alopecoenas stairi,Y,,481
7491,SIAC,Siberian Accentor,0A,Prunella montanella,,,901
7641,SIRU,Siberian Rubythroat,"1B, 1",Calliope calliope,,,842
7140,SIWR,Sinaloa Wren,"1B, 1",Thryophilus sinaloa,,,811
5670,SCJU,Slate-colored Junco,"0, 1C, 1",Junco hyemalis hyemalis,,,1080
6890,SLAR,Slate-throated Redstart,"0A, 0",Myioborus miniatus,,,993
480,SBGU,Slaty-backed Gull,7A,Larus schistisagus,,,426
1729,SCGO,Small Canada/Cackling Goose,"7B, 7, 7A",Branta canadensis parvipes,,"B. hutchinsii, nondistinguishable to subspecies, or B. c. parvipes",27
4722,SBEL,Small-billed Elaenia,"1, 1C, 0, 1B",Elaenia parvirostris,,,650
5370,SMLO,Smith's Longspur,"1, 1C",Calcarius pictus,,,919
3830,SBAN,Smooth-billed Ani,"3A, 4",Crotophaga ani,,,501
3300,SNKI,Snail Kite,6,Rostrhamus sociabilis,Y,Lock-on bands recommended.,240
5340,SNBU,Snow Bunting,"1A, 1B",Plectrophenax nivalis,,,921
8537,SNPE,Snow Petrel,4,Pagodroma nivea,,,138
1695,SBGI,Snow X Blue Goose Intergrade,7B,,,,12
1703,SRGH,Snow X Ross's Goose Hybrid,7B,,,,15
1970,SNEG,Snowy Egret,6,Egretta thula,,,219
3760,SNOW,Snowy Owl,"8A, 8, 9",Bubo scandiacus,,Rivet or Lock-on bands recommended.,511
2780,SNPL,Snowy Plover,1P,Charadrius nivosus,,,305
8543,SNSH,Snowy Sheathbill,"7A, 6",Chionis albus,,,314
2560,SOSA,Solitary Sandpiper,"1A, 1D, 2",Tringa solitaria,,,319
6299,SOVI,Solitary Vireo,"1C, 1, 0",,,"Includes Vireo solitarius, V. plumbeus, and V. cassinii, prior to split in 1998. Explain in Remarks why the unspecified code was chosen.",723
5810,SOSP,Song Sparrow,"1B, 1, 1C",Melospiza melodia,,,1065
8523,SOAL,Sooty Albatross,8,Phoebetria fusca,,,133
950,SOSH,Sooty Shearwater,"5, 5A, 4A",Ardenna grisea,,,166
750,SOTE,Sooty Tern,3,Onychoprion fuscatus,,,437
2140,SORA,Sora,"2, 2A, 3",Porzana carolina,,Band above the intertarsal joint only (size 2).,278
352,SPSK,South Polar Skua,"7A, 7B",Stercorarius maccormicki,,,372
8526,SOFU,Southern Fulmar,5,Fulmarus glacialoides,,,135
8525,SGPE,Southern Giant-Petrel,"8, 7D",Macronectes giganteus,,,125
9109,SHWR,Southern House Wren,0,Troglodytes aedon musculus,,,802
4664,SWFL,Southwestern Willow Flycatcher,"0, 0A",Empidonax traillii extimus,Y,,667
1580,SPEI,Spectacled Eider,"7A, 6",Somateria fischeri,Y,,72
2450,SPOS,Spoon-billed Sandpiper,1A,Calidris pygmea,,,346
5032,SPOO,Spot-breasted Oriole,2,Icterus pectoralis,,,1140
3151,SPDO,Spotted Dove,"3A, 4",Streptopelia chinensis,,Require 4 short.,474
3690,SPOW,Spotted Owl,7B,Strix occidentalis,British Columbia,Lock-on bands recommended.,517
2630,SPSA,Spotted Sandpiper,"1B, 1A",Actitis macularius,,,318
5880,SPTO,Spotted Towhee,"M: 1D, 2, 1A
F: 1D, 1A, 2",Pipilo maculatus,,AOU split from 5876 in 1998.,1020
3686,SBOH,Spotted X Barred Owl Hybrid,7B,,,Lock-on bands recommended. Strix occidentalis X S. varia.,518
7000,SPPI,Sprague's Pipit,"1, 1C",Anthus spragueii,"Alberta
Manitoba
Saskatchewan",,910
6643,SLWA,St. Lucia Warbler,"0A, 0",Setophaga delicata,,,978
1003,STPE,Stejneger's Petrel,3,Pterodroma longirostris,,,155
1570,STEI,Steller's Eider,"7A, 6",Polysticta stelleri,Y,,71
4780,STJA,Steller's Jay,"3, 2, 3B",Cyanocitta stelleri,,,738
2330,STSA,Stilt Sandpiper,"1A, 1D",Calidris himantopus,,,343
4553,STOF,Stolid Flycatcher,1B,Myiarchus stolidus,,,688
5051,STRO,Streak-backed Oriole,1A,Icterus pustulatus,,,1136
4741,SHLA,Streaked Horned Lark,1B,Eremophila alpestris strigata,Y,"E. a. strigata only in OR, WA. BC",764
881,STRS,Streaked Shearwater,3B,Calonectris leucomelas,,,159
9071,STTL,Streamertail,X,Trochilus polytmus,,Includes both Trochilus polytmus (Red-billed) and Trochilus scitulus (Black-billed Streamertail),576
4510,SBFL,Sulphur-bellied Flycatcher,"1B, 1A",Myiodynastes luteiventris,,,692
6100,SUTA,Summer Tanager,"1A, 1B",Piranga rubra,,,1091
1660,SUSC,Surf Scoter,7A,Melanitta perspicillata,,,76
2820,SURF,Surfbird,"2A, 3, 2",Calidris virgata,,,340
6634,SUWA,Sutton's Warbler,0A,,,Setophaga americana x S. dominica hybrid,974
3420,SWHA,Swainson's Hawk,"M: 7A, 6
F: 7A, 7B",Buteo swainsoni,,Lock-on bands recommended.,257
7580,SWTH,Swainson's Thrush,1B,Catharus ustulatus,,,862
6380,SWWA,Swainson's Warbler,"1, 1C, 0",Limnothlypis swainsonii,,,934
3270,STKI,Swallow-tailed Kite,6,Elanoides forficatus,,Lock-on bands recommended.,238
5840,SWSP,Swamp Sparrow,"1, 1C, 0",Melospiza georgiana,,,1067
2302,SWSN,Swinhoe's Snipe,3,Gallinago megala,,,365
1004,TAPE,Tahiti Petrel,4,Pseudobulweria rostrata,,,156
1711,TABG,Taiga Bean-Goose,"7B, 8",Anser fabalis,,,4
7710,TAFL,Taiga Flycatcher,0,Ficedula albicilla,,,845
4891,TACR,Tamaulipas Crow,4,Corvus imparatus,,,754
1724,TCGO,Taverner's Cackling Goose,"7A, 7, 7B",Branta hutchinsii taverneri,,,24
5001,TSBL,Tawny-shouldered Blackbird,"1B, 1A",Agelaius humeralis,,,1111
6470,TEWA,Tennessee Warbler,"0A, 0",Leiothlypis peregrina,,,936
431,THGU,Thayer's Gull,6,Larus glaucoides thayeri,,,423
4451,TBKI,Thick-billed Kingbird,1A,Tyrannus crassirostris,,,696
5390,TBLO,Thick-billed Longspur,"1, 1C",Rhynchophanes mccownii,"Alberta
Saskatchewan",,920
310,TBMU,Thick-billed Murre,"6M, 5R, 6, 5",Uria lomvia,,,380
3821,TBPA,Thick-billed Parrot,"4A, 4",Rhynchopsitta pachyrhyncha,Y,"No butt-end bands, special parrot bands only.",637
9130,TBVI,Thick-billed Vireo,"1C, 1",Vireo crassirostris,,,712
8530,TBPR,Thin-billed Prion,3,Pachyptila belcheri,,,142
8560,TIMO,Tinian Monarch,"0, 1C",Monarcha takatsukasae,,,733
931,TOSH,Townsend's Shearwater,4,Puffinus auricularis,,,171
7540,TOSO,Townsend's Solitaire,1B,Myadestes townsendi,,,851
6680,TOWA,Townsend's Warbler,"0A, 0",Setophaga townsendi,,,981
6686,THWH,Townsend's X Hermit Warbler Hybrid,"0A, 0",,,,982
4669,TRFL,Traill's Flycatcher,"0A, 0",,,"Empidonax alnorum and E. traillii, prior to split in 1973.",665
6140,TRES,Tree Swallow,"1, 0, 1C",Tachycineta bicolor,,,768
5000,TRBL,Tricolored Blackbird,"2, 2A, 1D",Agelaius tricolor,,,1110
1990,TRHE,Tricolored Heron,6,Egretta tricolor,,,221
8120,TRMU,Tricolored Munia,"0, 1C, 1",Lonchura malacca,,,1212
986,TRPE,Trindade Petrel,4,Pterodroma arminjoniana,,,149
1071,TRSP,Tristram's Storm-Petrel,"2, 2A",Hydrobates tristrami,,,186
4460,TRKI,Tropical Kingbird,"1A, 1B, 1D",Tyrannus melancholicus,,,693
7032,TRMO,Tropical Mockingbird,"1A, 1D, 2",Mimus gilvus,,,889
6490,TRPA,Tropical Parula,0A,Setophaga pitiayumi,,,957
922,TRSH,Tropical Shearwater,"3, 3B, 3A",Puffinus bailloni,,,174
1810,TRUS,Trumpeter Swan,"9C, 9",Cygnus buccinator,,,32
1491,TUDU,Tufted Duck,5,Aythya fuligula,,,68
120,TUPU,Tufted Puffin,"6, 5, 5A",Fratercula cirrhata,,,401
7310,TUTI,Tufted Titmouse,1B,Baeolophus bicolor,,,789
1719,TWFG,Tule White-fronted Goose,8,Anser albifrons elgasi,,,8
3250,TUVU,Turkey Vulture,8V,Cathartes aura,,Cannot band with metal bands--request “air” bands for reporting wing-tagged birds.,234
7357,UNCH,Unidentified Chickadee,"0, 0A, 1C, 1",,,,784
5276,UNRE,Unidentified Common/Hoary Redpoll,0,,,Unspecified Acanthis flammea or A. hornemanni. Explain in Remarks why the unspecified code was chosen.,1186
4679,UNEM,Unidentified Empidonax,"0A, 0",,,Explain in Remarks why the unidentified code was chosen,676
7579,GCBT,Unidentified Gray-cheeked/Bicknell's Thrush,1B,,,,861
534,UNGU,Unidentified Gull,"5, 5A",,,Explain in Remarks why the unidentified code was chosen.,432
4409,UNHU,Unidentified Hummingbird,X,,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",567
550,UMGU,Unidentified Mew Gull,"4A, 4, 5",,,"Mew Gull Split, AOS 62nd Supplement (2021)",415
5876,URST,Unidentified Rufous-sided Towhee,"2, 1A, 1D",,,Includes Pipilo erythrophthalmus and P. maculatus prior to split in 1998. Explain in Remarks why the unidentified code was chosen.,1022
5740,USSP,Unidentified Sage Sparrow,"1, 1C",,,Unspecified Artemisiospiza belli or A. nevadensis (not A. b. clementeae). Explain in Remarks why the unspecified code was chosen.,1045
4024,UNSA,Unidentified Sapsucker,"1A, 1B, 1D",,,,601
4331,UNSE,Unidentified Selasphorus Hummingbird,X,,,,565
5499,STSP,Unidentified Sharp-tailed Sparrow,"1, 1B, 1C",,,Unspecified Ammodramus caudacutus or A. nelsoni. Explain in Remarks why the unspecified code was chosen.,1060
1401,UNTE,Unidentified Teal,"5, 4A",,,Explain in Remarks why the unidentified code was chosen.,63
6020,UWSE,Unidentified White-collared Seedeater,"0, 0A",,,,1005
5677,UDEJ,Unspecified Dark-eyed Junco,"0, 1C, 1",Junco hyemalis,,To be used for Dark-eyed Juncos whose subspecies cannot be determined.,1082
4124,UNFL,Unspecified Northern Flicker,"3, 3B",Colaptes auratus,,,614
3340,UNGO,Unspecified Northern Goshawk,"M: 6, 7A
F: 7A, 7B",,British Columbia,Lock-on bands recommended.,247
6721,UPWA,Unspecified Palm Warbler,"0, 0A",Setophaga palmarum,,Undifferentiated Western / Yellow Palm Warbler,967
4810,UWSJ,Unspecified Western Scrub-Jay,"3, 2, 2A",,,Includes Aphelocoma californica and A. woodhouseii prior to split in AOS 57th Supplement (2016),743
5540,UWCS,Unspecified White-crowned Sparrow,1B,Zonotrichia leucophrys,,,1071
6556,UYRW,Unspecified Yellow-rumped Warbler,"0, 1C, 0A, 1",Setophaga coronata,,Undifferentiated Myrtle / Audubon's Warbler. Use only if uncertain.,971
2610,UPSA,Upland Sandpiper,"3, 2A",Bartramia longicauda,,,328
6000,VABU,Varied Bunting,"1, 1C",Passerina versicolor,,,1105
7630,VATH,Varied Thrush,2,Ixoreus naevius,,,875
7341,VATI,Varied Tit,"1B, 1, 1C",Sittiparus varius,,,785
4240,VASW,Vaux's Swift,1,Chaetura vauxi,,,540
7560,VEER,Veery,1B,Catharus fuscescens,,,858
9166,VETR,Venezuelan Troupial,3,Icterus icterus,,,1135
7460,VERD,Verdin,"0A, 0",Auriparus flaviceps,,,792
4710,VEFL,Vermilion Flycatcher,"0, 0A, 1C, 1",Pyrocephalus rubinus,,,680
5400,VESP,Vesper Sparrow,"1B, 1, 1C",Pooecetes gramineus,British Columbia,,1040
8506,VIPE,Victoria Penguin,9,Eudyptes pachyrhynchus,,,109
4391,VCHU,Violet-crowned Hummingbird,X,Ramosomyia violiceps,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",575
6150,VGSW,Violet-green Swallow,"1, 0, 1C",Tachycineta thalassina,,,769
2120,VIRA,Virginia Rail,"2, 3, 2A",Rallus limicola,,Band above the intertarsal joint only.,277
6440,VIWA,Virginia's Warbler,"0A, 0",Leiothlypis virginiae,,,941
811,WAAL,Wandering Albatross,8,Diomedea exulans,,,127
2590,WATA,Wandering Tattler,"3, 2, 2A",Tringa incana,,,321
6270,WAVI,Warbling Vireo,"0, 1C, 1",Vireo gilvus,,,725
6226,WAWE,Warbling White-eye,"0A, 0",Zosterops japonicus,,,828
8670,WAHO,Wattled Honeyeater,"1A, 1D, 2",Foulehaio carunculatus,,,705
824,WAVA,Waved Albatross,8,Phoebastria irrorata,,,130
1063,WRSP,Wedge-rumped Storm-Petrel,1B,Hydrobates tethys,,,184
961,WTSH,Wedge-tailed Shearwater,"5, 4A, 4",Ardenna pacifica,,,164
1771,WIWD,West Indian Whistling-Duck,7B,Dendrocygna arborea,,,2
4092,WIWO,West Indian Woodpecker,"3, 2A, 2",Melanerpes superciliaris,,,595
7670,WEBL,Western Bluebird,1B,Sialia mexicana,,,848
4649,WEFL,Western Flycatcher,"0A, 0",Empidonax difficilis,,"Elevated to species, AOS 64rd Supplement (2023)",673
10,WEGR,Western Grebe,"7B, 7, 7A",Aechmophorus occidentalis,,,100
490,WEGU,Western Gull,"6, 7A",Larus occidentalis,,,419
4470,WEKI,Western Kingbird,"1A, 1B",Tyrannus verticalis,,,697
5011,WEME,Western Meadowlark,"M: 3
F: 2, 3",Sturnella neglecta,,,1114
6720,WPWA,Western Palm Warbler,"0, 0A",Setophaga palmarum palmarum,,,965
2470,WESA,Western Sandpiper,"1B, 1",Calidris mauri,,,359
3732,WESO,Western Screech-Owl,"5, 4A, 4",Megascops kennicottii,British Columbia,Lock-on bands recommended.,506
2781,WSPL,Western Snowy Plover,1P,Charadrius nivosus nivosus,Y,"Endangered western populations (coastal CA, OR, WA).",306
6101,WESP,Western Spindalis,"1B, 1A",Spindalis zena,,,1000
6070,WETA,Western Tanager,1B,Piranga ludoviciana,,,1093
4620,WEWP,Western Wood-Pewee,"0A, 0, 1C, 1",Contopus sordidulus,,,656
3871,WYBC,Western Yellow-billed Cuckoo,"2, 3",Coccyzus americanus,Y,"Endangered western US populations (AZ, CA, CO, ID, MT, NV, NM, OR, TX, UT, WA, WY).",495
12,WCGR,Western/Clark's Grebe,"7A, 7B",,,Unspecified Aechmophorus occidentalis or A. clarkii.,101
2650,WHIM,Whimbrel,"4, 4A",Numenius phaeopus,,,329
190,WHAU,Whiskered Auklet,3,Aethia pygmaea,,,396
3731,WHSO,Whiskered Screech-Owl,"4, 3A",Megascops trichopsis,,Lock-on bands recommended.,508
781,WHIT,Whiskered Tern,2,Chlidonias hybrida,,,449
1800,WHSW,Whistling Swan,9,Cygnus columbianus columbianus,,,33
1840,WHIB,White Ibis,"6, 7A",Eudocimus albus,,,227
793,WHTE,White Tern,"2, 2A",Gygis alba,,,436
6940,WHWA,White Wagtail,"1, 1C",Motacilla alba,,,904
7270,WBNU,White-breasted Nuthatch,"1B, 1, 1C",Sitta carolinensis,,,795
823,WCAL,White-capped Albatross,8,Thalassarche cauta,,,119
1431,WHIP,White-cheeked Pintail,"5, 5A",Anas bahamensis,,,57
8533,WCPE,White-chinned Petrel,"7A, 6, 5A, 5",Procellaria aequinoctialis,,,158
9122,WCTH,White-chinned Thrush,2,Turdus aurantius,,,873
3140,WCPI,White-crowned Pigeon,"4, 4A",Patagioenas leucocephala,,Require 4 or 4A short.,466
4401,WEHU,White-eared Hummingbird,X,Basilinna leucotis,,"Appropriate diameter to be determined based on species, gender, and geographic considerations.",577
9120,WETH,White-eyed Thrush,2,Turdus jamaicensis,,,870
6310,WEVI,White-eyed Vireo,"0, 0A",Vireo griseus,,,711
1870,WFIB,White-faced Ibis,6,Plegadis chihi,,,230
1110,WFSP,White-faced Storm-Petrel,3,Pelagodroma marina,,,178
3990,WHWO,White-headed Woodpecker,"1D, 2, 1A",Picoides albolarvatus,British Columbia,,608
4871,WNCR,White-necked Crow,"5, 6",Corvus leucognaphalus,Y,,752
2400,WRSA,White-rumped Sandpiper,"1A, 1B",Calidris fuscicollis,,,355
7690,WRSH,White-rumped Shama,"1B, 1A, 1D",Copsychus malabaricus,,,841
8610,WRSW,White-rumped Swiftlet,"0, 1, 1C",Aerodramus spodiopygius,,,542
3410,WTHA,White-tailed Hawk,"7A, 7B",Geranoaetus albicaudatus,,Lock-on bands recommended.,258
3280,WTKI,White-tailed Kite,"6, 5",Elanus leucurus,,Lock-on bands recommended.,239
1120,WTTR,White-tailed Tropicbird,"4, 4A, 3A",Phaethon lepturus,,,188
3154,WTGD,White-throated Ground Dove,"4, 3A",Pampusana xanthonura,,,480
5580,WTSP,White-throated Sparrow,1B,Zonotrichia albicollis,,,1069
1101,WHSP,White-throated Storm-Petrel,"3, 2A, 2",Nesofregetta fuliginosa,,,179
4250,WTSW,White-throated Swift,2,Aeronautes saxatalis,,,545
3180,WTDO,White-tipped Dove,"3A, 4, 3B",Leptotila verreauxi,,,488
5220,WWCR,White-winged Crossbill,1B,Loxia leucoptera,,,1183
3190,WWDO,White-winged Dove,"4, 3A",Zenaida asiatica,,,490
5660,WWJU,White-winged Junco,"1, 0, 1C",Junco hyemalis aikeni,,,1078
3818,WWPA,White-winged Parakeet,"2, 3",Brotogeris versicolurus,,"No butt-end bands, special parrot bands only.",639
1650,WWSC,White-winged Scoter,"7A, 7",Melanitta deglandi,,,77
780,WWTE,White-winged Tern,2,Chlidonias leucopterus,,,448
1790,WHOS,Whooper Swan,9,Cygnus cygnus,,,35
2040,WHCR,Whooping Crane,"9, 9V",Grus americana,Y,,292
2580,WILL,Willet,"4, 4A, 3A",Tringa semipalmata,,,324
4040,WISA,Williamson's Sapsucker,1A,Sphyrapicus thyroideus,British Columbia,,596
4660,WIFL,Willow Flycatcher,"0A, 0",Empidonax traillii,,AOU split from 4669-TRFL in 1973.,666
2240,WIPH,Wilson's Phalarope,"1D, 1A, 2",Phalaropus tricolor,,,368
2800,WIPL,Wilson's Plover,"1D, 1A, 2",Charadrius wilsonia,,,307
2300,WISN,Wilson's Snipe,"3, 3B, 3A, 2",Gallinago delicata,,,363
1090,WISP,Wilson's Storm-Petrel,"1B, 1A",Oceanites oceanicus,,,176
6850,WIWA,Wilson's Warbler,"0A, 0",Cardellina pusilla,,,990
7220,WIWR,Winter Wren,"0A, 0",Troglodytes hiemalis,,,804
1440,WODU,Wood Duck,"M: 5A, 6, 5
F: 5A, 5, 6",Aix sponsa,,,37
2561,WOSA,Wood Sandpiper,"3, 2, 1D, 1A",Tringa glareola,,,327
1880,WOST,Wood Stork,8,Mycteria americana,Y,,191
7550,WOTH,Wood Thrush,1A,Hylocichla mustelina,"New Brunswick
Nova Scotia
Ontario
Québec",,864
7473,WOWA,Wood Warbler,0A,Phylloscopus sibilatrix,,,823
4812,WOSJ,Woodhouse's Scrub-Jay,"3, 2, 2A",Aphelocoma woodhouseii,,,744
6390,WEWA,Worm-eating Warbler,"1C, 0, 1",Helmitheros vermivorum,,,924
5640,WOSP,Worthen's Sparrow,"0, 0A",Spizella wortheni,,,1038
7420,WREN,Wrentit,"1, 1C, 1B",Chamaea fasciata,,,827
250,XAMU,Xantus's Murrelet,"2, 2A",,,Unspecified Synthliboramphus scrippsi / S. hypoleucus.,388
1911,YEBI,Yellow Bittern,4,Ixobrychus sinensis,,,213
5961,YEGR,Yellow Grosbeak,"2, 1A, 1D",Pheucticus chrysopeplus,,,1097
6729,YPWA,Yellow Palm Warbler,"0, 0A",Setophaga palmarum hypochrysea,,,966
2150,YERA,Yellow Rail,"2, 1D",Coturnicops noveboracensis,,,266
6520,YEWA,Yellow Warbler,"0, 0A, 1C, 1",Setophaga petechia,,,961
9099,YBEL,Yellow-bellied Elaenia,"1, 1B",Elaenia flavogaster,,,652
4630,YBFL,Yellow-bellied Flycatcher,"0A, 0",Empidonax flaviventris,,,662
4020,YBSA,Yellow-bellied Sapsucker,"1B, 1A",Sphyrapicus varius,,,597
9182,YBSE,Yellow-bellied Seedeater,0,Sporophila nigricollis,,,1008
5923,YBCA,Yellow-billed Cardinal,"1A, 1D",Paroaria capitata,,,998
3870,YBCU,Yellow-billed Cuckoo,"2, 3",Coccyzus americanus,,,494
80,YBLO,Yellow-billed Loon,"9, 8A",Gavia adamsii,,,94
4760,YBMA,Yellow-billed Magpie,3A,Pica nuttalli,,,748
6830,YBCH,Yellow-breasted Chat,"1B, 1A, 1D",Icteria virens,"British Columbia
Ontario",Some may require size 2.,994
2131,YBCR,Yellow-breasted Crake,"3, 2",Hapalocrex flaviventer,,,279
3819,YCPA,Yellow-chevroned Parakeet,"2, 3",Brotogeris chiriri,,"No butt-end bands, special parrot bands only.",640
8042,YCBI,Yellow-crowned Bishop,0A,Euplectes afer,,,1200
2030,YCNH,Yellow-crowned Night-Heron,"7A, 7",Nyctanassa violacea,,,226
5700,YEJU,Yellow-eyed Junco,"1, 1C, 0",Junco phaeonotus,,,1084
6032,YFGR,Yellow-faced Grassquit,"0, 0A, 1C",Tiaris olivaceus,,,1010
491,YFGU,Yellow-footed Gull,6,Larus livens,,,420
5332,YFCA,Yellow-fronted Canary,"0, 1",Crithagra mozambica,,,1194
6250,YGVI,Yellow-green Vireo,"1, 1C, 0",Vireo flavoviridis,,,728
4970,YHBL,Yellow-headed Blackbird,"M: 2, 3, 1D
F: 1A, 1D, 2",Xanthocephalus xanthocephalus,,,1117
830,YNAL,Yellow-nosed Albatross,8,Thalassarche chlororhynchos,,,118
4120,YSFL,Yellow-shafted Flicker,"3, 3B",Colaptes auratus auratus,,,611
5002,YSBL,Yellow-shouldered Blackbird,2,Agelaius xanthomus,Y,,1112
9176,YSGR,Yellow-shouldered Grassquit,"0, 1",Loxipasser anoxanthus,,,1012
6280,YTVI,Yellow-throated Vireo,"1C, 1",Vireo flavifrons,,,719
6630,YTWA,Yellow-throated Warbler,"0A, 0",Setophaga dominica,,,973
2113,YRRA,Yuma Ridgway's Rail,5,Rallus obsoletus yumanensis,Y,,274
3153,ZEBD,Zebra Dove,"3, 2",Geopelia striata,,,475
3170,ZEND,Zenaida Dove,"4, 3A",Zenaida aurita,,,491
3400,ZTHA,Zone-tailed Hawk,"7A, 6",Buteo albonotatus,,Lock-on bands recommended.,259
5586,ZSHY,Zonotrichia Sparrow Hybrid,1B,,,Report suspected parentage as a remark (e.g. Species1 x Species2).,1079